,Friend,Follower Count,,,,,,,,,,,,
,User,489,,,,,,,,,,,,
1,605923,979,,,,,,,,,,,,
2,852241,5000,,,,,,,,,Sum,Mean,Median,Std Dev
3,1031591,2733,,,,,,,,,311317,1062.515358,376,1479.002798
4,1589381,3415,,,,,,,,,,,,
5,1632131,1995,,,,,,,,,,,,
6,1701371,3042,,,,,,,,,,,,
7,2025101,1633,,,,,,,,,,,,
8,3042711,3145,,,,,,,,,,,,
9,3080761,5000,,,,,,,,,,,,
10,5693852,388,,,,,,,,,,,,
11,6758652,1681,,,,,,,,,,,,
12,7377862,1152,,,,,,,,,,,,
13,8500742,143,,,,,,,,,,,,
14,8769542,3870,,,,,,,,,,,,
15,10034972,5000,,,,,,,,,,,,
16,10271802,339,,,,,,,,,,,,
17,12006852,1439,,,,,,,,,,,,
18,12434302,3393,,,,,,,,,,,,
19,13645402,2549,,,,,,,,,,,,
20,13686942,376,,,,,,,,,,,,
21,14149525,406,,,,,,,,,,,,
22,14211946,5000,,,,,,,,,,,,
23,14278162,1091,,,,,,,,,,,,
24,14331818,5000,,,,,,,,,,,,
25,14564240,1234,,,,,,,,,,,,
26,14629974,798,,,,,,,,,,,,
27,14707329,4212,,,,,,,,,,,,
28,14807028,916,,,,,,,,,,,,
29,15044465,1219,,,,,,,,,,,,
30,15449070,5000,,,,,,,,,,,,
31,15709458,437,,,,,,,,,,,,
32,15709998,90,,,,,,,,,,,,
33,15754107,4070,,,,,,,,,,,,
34,15785369,120,,,,,,,,,,,,
35,15841047,2108,,,,,,,,,,,,
36,15842692,4145,,,,,,,,,,,,
37,15923007,4960,,,,,,,,,,,,
38,15931296,152,,,,,,,,,,,,
39,15970999,1315,,,,,,,,,,,,
40,16861499,489,,,,,,,,,,,,
41,16868154,2200,,,,,,,,,,,,
42,16914744,424,,,,,,,,,,,,
43,17075190,2512,,,,,,,,,,,,
44,18076477,874,,,,,,,,,,,,
45,18227931,648,,,,,,,,,,,,
46,18399014,5000,,,,,,,,,,,,
47,18663040,1110,,,,,,,,,,,,
48,19203768,5000,,,,,,,,,,,,
49,19543146,1698,,,,,,,,,,,,
50,19613659,852,,,,,,,,,,,,
51,19776081,617,,,,,,,,,,,,
52,20449047,903,,,,,,,,,,,,
53,20816117,415,,,,,,,,,,,,
54,22058343,5000,,,,,,,,,,,,
55,22085323,2618,,,,,,,,,,,,
56,22160201,5000,,,,,,,,,,,,
57,22689222,284,,,,,,,,,,,,
58,22826489,582,,,,,,,,,,,,
59,22898537,1254,,,,,,,,,,,,
60,22943563,977,,,,,,,,,,,,
61,23670057,70,,,,,,,,,,,,
62,24092133,1644,,,,,,,,,,,,
63,25758355,31,,,,,,,,,,,,
64,26921595,108,,,,,,,,,,,,
65,27013170,127,,,,,,,,,,,,
66,27838943,470,,,,,,,,,,,,
67,28288234,743,,,,,,,,,,,,
68,28631536,785,,,,,,,,,,,,
69,30180284,2642,,,,,,,,,,,,
